_elapsed,_wall,angular.x,angular.y,angular.z,linear.x,linear.y,linear.z
24.622186,1788156968.740935,0.0,0.0,0.0,0.0,0.0,0.0
24.726625,1788156968.845374,0.0,0.0,0.0,0.0,0.0,0.0
24.827332,1788156968.946081,0.0,0.0,0.0,0.0,0.0,0.0
24.930873,1788156969.049622,0.0,0.0,0.0,0.0,0.0,0.0
25.034153,1788156969.152902,0.0,0.0,0.0,0.0,0.0,0.0
25.138993,1788156969.257742,0.0,0.0,0.0,0.0,0.0,0.0
25.247500,1788156969.366249,0.0,0.0,0.0,0.0,0.0,0.0
25.347049,1788156969.465797,0.0,0.0,0.0,0.0,0.0,0.0
25.450027,1788156969.568775,0.0,0.0,0.0,0.0,0.0,0.0
25.554570,1788156969.673319,0.0,0.0,0.0,0.0,0.0,0.0
25.655302,1788156969.774050,0.0,0.0,0.0,0.0,0.0,0.0
25.760138,1788156969.878887,0.0,0.0,0.0,0.0,0.0,0.0
25.861287,1788156969.980036,0.0,0.0,0.0,0.0,0.0,0.0
25.964029,1788156970.082777,0.0,0.0,0.0,0.0,0.0,0.0
26.067017,1788156970.185766,0.0,0.0,0.0,0.0,0.0,0.0
26.168684,1788156970.287433,0.0,0.0,0.0,0.0,0.0,0.0
26.272847,1788156970.391595,0.0,0.0,0.0,0.0,0.0,0.0
26.373642,1788156970.492391,0.0,0.0,0.0,0.0,0.0,0.0
26.477872,1788156970.596621,0.0,0.0,0.0,0.0,0.0,0.0
26.578643,1788156970.697392,0.0,0.0,0.0,0.0,0.0,0.0
26.685966,1788156970.804715,0.0,0.0,0.0,0.0,0.0,0.0
26.785923,1788156970.904671,0.0,0.0,0.0,0.0,0.0,0.0
26.890139,1788156971.008888,0.0,0.0,0.0,0.0,0.0,0.0
26.990898,1788156971.109647,0.0,0.0,0.0,0.0,0.0,0.0
27.098279,1788156971.217028,0.0,0.0,0.0,0.0,0.0,0.0
27.198701,1788156971.317450,0.0,0.0,0.0,0.0,0.0,0.0
27.303161,1788156971.421910,0.0,0.0,0.0,0.0,0.0,0.0
27.408976,1788156971.527725,0.0,0.0,0.0,0.0,0.0,0.0
27.508871,1788156971.627619,0.0,0.0,0.0,0.0,0.0,0.0
27.612635,1788156971.731384,0.0,0.0,0.0,0.0,0.0,0.0
27.713367,1788156971.832116,0.0,0.0,0.0,0.0,0.0,0.0
27.817149,1788156971.935898,0.0,0.0,0.0,0.0,0.0,0.0
27.920908,1788156972.039657,0.0,0.0,0.0,0.0,0.0,0.0
28.025530,1788156972.144279,0.0,0.0,0.0,0.0,0.0,0.0
28.129328,1788156972.248076,0.0,0.0,0.0,0.0,0.0,0.0
28.239520,1788156972.358269,0.0,0.0,0.0,0.0,0.0,0.0
28.343731,1788156972.462480,0.0,0.0,0.0,0.0,0.0,0.0
28.445676,1788156972.564425,0.0,0.0,0.0,0.0,0.0,0.0
28.546648,1788156972.665397,0.0,0.0,0.0,0.0,0.0,0.0
28.652573,1788156972.771322,0.0,0.0,0.0,0.0,0.0,0.0
28.755466,1788156972.874214,0.0,0.0,0.0,0.0,0.0,0.0
28.858480,1788156972.977229,0.0,0.0,0.0,0.0,0.0,0.0
28.960397,1788156973.079146,0.0,0.0,0.0,0.0,0.0,0.0
29.063715,1788156973.182463,0.0,0.0,0.0,0.0,0.0,0.0
29.165041,1788156973.283790,0.0,0.0,0.0,0.0,0.0,0.0
29.268568,1788156973.387317,0.0,0.0,0.0,0.0,0.0,0.0
29.371559,1788156973.490308,0.0,0.0,0.0,0.0,0.0,0.0
29.475460,1788156973.594208,0.0,0.0,0.0,0.0,0.0,0.0
29.576036,1788156973.694785,0.0,0.0,0.0,0.0,0.0,0.0
29.679552,1788156973.798300,0.0,0.0,0.0,0.0,0.0,0.0
29.785277,1788156973.904026,0.0,0.0,0.0,0.0,0.0,0.0
29.890147,1788156974.008896,0.0,0.0,0.0,0.0,0.0,0.0
29.990525,1788156974.109274,0.0,0.0,0.0,0.0,0.0,0.0
30.094421,1788156974.213170,0.0,0.0,0.0,0.0,0.0,0.0
30.198368,1788156974.317117,0.0,0.0,0.0,0.0,0.0,0.0
30.306834,1788156974.425582,0.0,0.0,0.0,0.0,0.0,0.0
30.411089,1788156974.529837,0.0,0.0,0.0,0.0,0.0,0.0
30.514609,1788156974.633357,0.0,0.0,0.0,0.0,0.0,0.0
30.618556,1788156974.737305,0.0,0.0,0.0,0.0,0.0,0.0
30.721046,1788156974.839795,0.0,0.0,0.0,0.0,0.0,0.0
30.821867,1788156974.940616,0.0,0.0,0.0,0.0,0.0,0.0
30.927258,1788156975.046006,0.0,0.0,0.0,0.0,0.0,0.0
31.029845,1788156975.148594,0.0,0.0,0.0,0.0,0.0,0.0
31.131375,1788156975.250124,0.0,0.0,0.0,0.0,0.0,0.0
31.234477,1788156975.353225,0.0,0.0,0.0,0.0,0.0,0.0
31.336762,1788156975.455511,0.0,0.0,0.0,0.0,0.0,0.0
31.438987,1788156975.557736,0.0,0.0,0.0,0.0,0.0,0.0
31.540991,1788156975.659740,0.0,0.0,0.0,0.0,0.0,0.0
31.643151,1788156975.761900,0.0,0.0,0.0,0.0,0.0,0.0
31.745161,1788156975.863910,0.0,0.0,0.0,0.0,0.0,0.0
