_elapsed,_wall,contact_count,elapsed_s,state
17.500183,1788156961.618932,0,50.548742394996225,IDLE
17.604678,1788156961.723426,0,50.65227182999661,IDLE
17.706466,1788156961.825215,0,50.75449227399076,IDLE
17.808343,1788156961.927092,0,50.8569405899907,IDLE
17.910812,1788156962.029561,0,50.95938355498947,IDLE
18.013421,1788156962.132169,0,51.061878592998255,IDLE
18.115949,1788156962.234698,0,51.16424083500169,IDLE
18.218577,1788156962.337326,0,51.26635607499338,IDLE
18.320992,1788156962.439741,0,51.36958602599043,IDLE
18.423164,1788156962.541913,0,51.47179369199148,IDLE
18.526954,1788156962.645703,0,51.57411213699379,IDLE
18.628178,1788156962.746927,0,51.67685267799243,IDLE
18.731911,1788156962.850659,0,51.7800338879897,IDLE
18.833965,1788156962.952713,0,51.88253796398931,IDLE
18.939448,1788156963.058197,0,51.987688371998956,IDLE
19.042438,1788156963.161187,0,52.090584061996196,IDLE
19.144037,1788156963.262786,0,52.19259478300228,IDLE
19.249258,1788156963.368006,0,52.2978740069957,IDLE
19.351526,1788156963.470274,0,52.39986348699313,IDLE
19.454840,1788156963.573589,0,52.50205024599563,IDLE
19.556989,1788156963.675738,0,52.60425730099087,IDLE
19.659709,1788156963.778458,0,52.70651546800218,IDLE
19.760299,1788156963.879048,0,52.80861405900214,IDLE
19.863648,1788156963.982396,0,52.9108701889927,IDLE
19.964788,1788156964.083537,0,53.0131443739956,IDLE
20.066838,1788156964.185587,0,53.11545063399535,IDLE
20.168836,1788156964.287585,0,53.217465520996484,IDLE
20.272529,1788156964.391278,0,53.32064697200258,IDLE
20.377171,1788156964.495920,0,53.42540884099435,IDLE
20.480404,1788156964.599153,0,53.528562235995196,IDLE
20.583522,1788156964.702271,0,53.63151257399295,IDLE
20.688224,1788156964.806973,0,53.73641112999758,IDLE
20.797061,1788156964.915809,0,53.844896376002,IDLE
20.899634,1788156965.018382,0,53.94818849398871,IDLE
21.002983,1788156965.121732,0,54.0513522229885,IDLE
21.106802,1788156965.225551,0,54.15538840199588,IDLE
21.209214,1788156965.327963,0,54.25750038199476,IDLE
21.311972,1788156965.430721,0,54.36056840600213,IDLE
21.414458,1788156965.533207,0,54.462747553989175,IDLE
21.516479,1788156965.635228,0,54.56479486699391,IDLE
21.622181,1788156965.740930,0,54.67050694698992,IDLE
21.724211,1788156965.842960,0,54.77256685298926,IDLE
21.827461,1788156965.946210,0,54.87585311899602,IDLE
21.929267,1788156966.048016,0,54.97793578499113,IDLE
22.036543,1788156966.155292,0,55.0843381099985,IDLE
22.139673,1788156966.258421,0,55.18778550699062,IDLE
22.241253,1788156966.360002,0,55.28992946899962,IDLE
22.343806,1788156966.462555,0,55.392128282997874,IDLE
22.447362,1788156966.566110,0,55.495964108995395,IDLE
22.549842,1788156966.668591,0,55.598145459996886,IDLE
22.653643,1788156966.772392,0,55.70147113400162,IDLE
22.756350,1788156966.875099,0,55.80443165799079,IDLE
22.859383,1788156966.978132,0,55.90760899698944,IDLE
22.967741,1788156967.086490,0,56.01575075999426,IDLE
23.070164,1788156967.188913,0,56.11875496899302,IDLE
23.173230,1788156967.291979,0,56.22157165799581,IDLE
23.276416,1788156967.395165,0,56.32499836999341,IDLE
23.378731,1788156967.497479,0,56.426954033988295,IDLE
23.482427,1788156967.601176,0,56.53100937999261,IDLE
23.585614,1788156967.704362,0,56.63424151598883,IDLE
23.687840,1788156967.806588,0,56.736457220002194,IDLE
23.789986,1788156967.908735,0,56.83861449699907,IDLE
23.893763,1788156968.012512,0,56.94222624698887,IDLE
23.996779,1788156968.115528,0,57.04516125199734,IDLE
24.099191,1788156968.217940,0,57.147215656994376,IDLE
24.202719,1788156968.321468,0,57.25028205200215,IDLE
24.310945,1788156968.429694,0,57.35640894899552,IDLE
24.414740,1788156968.533488,0,57.46293049700034,IDLE
24.520643,1788156968.639392,0,57.56923121,IDLE
24.624725,1788156968.743474,0,57.672929052991094,IDLE
24.726812,1788156968.845560,0,57.775118218996795,IDLE
24.829514,1788156968.948262,0,57.878086167998845,IDLE
24.932554,1788156969.051302,0,57.98114554399217,IDLE
25.036889,1788156969.155638,0,58.08461662699119,IDLE
25.143863,1788156969.262612,0,58.192411923999316,IDLE
25.248966,1788156969.367715,0,58.29483105499821,IDLE
25.348402,1788156969.467151,0,58.396987849992,IDLE
25.452744,1788156969.571493,0,58.50088049098849,IDLE
